iJO1366 Reaction,AMP IC50,CIP IC50,GENT IC50
L-Histidine,0.111849281,0.227893613,0.415059899
L-Isoleucine,0.227818536,0.862837372,-0.169706439
L-Leucine,0.452496684,1.426349345,0.026033608
L-Lysine,0.109059658,0.023057582,0.496846907
L-Methionine,-0.383613185,-0.002801722,0.591793419
L-Phenylalanine,0.051531107,0.399239289,0.151450941
L-Proline,-0.111664983,0.057020717,0.232568695
L-Serine,0.15992714,0.148855407,-0.268565464
L-Threonine,-0.208480305,1.233216568,0.36462426
L-Tryptophan,0.192968454,1.116060423,0.333056069
L-Tyrosine,0.195406272,0.284041755,0.464252716
L-Valine,1.076655531,-0.203858131,0.902601769
D-Alanine,-0.195713122,0.136861078,0.435154684
D-GlutamicAcid,0.42453864,-0.213605049,-0.275913079
D-Serine,-0.126672447,2.393674891,-0.060729775
L-Citrulline,0.021726712,-0.223576627,0.30115701
L-Homoserine,0.550106367,0.153385903,-0.510870914
L-Ornithine,0.181449973,0.533189831,0.907286512
"N-Acetyl-D,L-GlutamicAcid",0.11972177,-0.011078142,0.238154334
Ethanolamine,0.004174574,0.287884817,0.641526464
Putrescine,0.22101228,0.499343932,1.620793816
Agmatine,0.104885776,0.380569334,1.562408507
??-Phenylethyl-amine,0.129695594,0.09918627,1.555949909
Tyramine,-0.020888924,0.102222023,1.12904145
D-Glucosamine,0.074945288,0.408187131,0.171645629
N-Acetyl-D-Glucosamine,0.125472281,0.587676746,0.150930394
N-Acetyl-D-Galactosamine,0.090132577,0.584621319,-0.028298617
N-Acetyl-D-Mannosamine,0.024554607,0.048533063,-0.004708745
Adenine,0.774795507,1.801280876,0.012572767
Adenosine,0.429250791,0.941782013,0.141331763
Cytidine,-0.393178783,0.288773332,0.34648487
Cytosine,-0.465229808,0.199257497,0.192662058
Guanine,0.921168032,0.352180695,0.898894144
Guanosine,0.21501757,-0.271048208,0.275884118
Thymine,0.130847728,0.565718475,0.270682539
Thymidine,0.067815066,0.580751692,0.031346207
Uracil,-0.321228404,0.345994948,0.234523058
Uridine,-0.405057698,0.578168915,0.163062231
Inosine,0.217124934,1.424517654,0.11921575
Xanthine,0.334402515,-0.015558256,0.424544809
Xanthosine,0.414277726,0.705099719,0.224415449
UricAcid,0.770888327,0.219149404,0.60858127
Allantoin,0.018935726,0.15821164,0.19027019
Ala-Asp,-0.181362893,0.148543969,0.801273737
Ala-Gln,-0.589882887,0.371571908,0.272574018
Ala-Glu,-0.399583438,0.192130191,0.491049048
Ala-Gly,-0.161071743,-0.172725179,0.453264486
Ala-His,-0.022254767,-0.238697886,0.139535548
Ala-Leu,0.40720245,1.731729242,0.272574018
Ala-Thr,-0.101066971,0.532601788,0.33447794
Gly-Asn,-0.48995606,-0.631633955,0.442457811
Gly-Gln,-0.447870651,-0.182095444,0.260017637
Gly-Glu,-0.386637568,0.441800567,0.532732316
Gly-Met,-0.27709397,0.288813706,0.440190869
Met-Ala,-0.127602448,0.044676944,0.441489741
Phosphate,0.035855102,0.035056873,0.306236786
Pyrophosphate,0.319781885,-1.849439867,1.954650746
Adenosine-3??-monophosphate,0.393868591,0.445939809,0.024103568
Adenosine-5??-monophosphate,0.451749584,0.87268409,-0.36732229
"Adenosine-2??,3??-cyclicmonophosphate",0.283952223,0.562172491,0.013077293
D-2-Phospho-GlycericAcid,0.18454604,0.130782641,0.30118097
D-3-Phospho-GlycericAcid,0.195240869,0.090388082,0.252800654
Guanosine-3??-monophosphate,0.349995531,1.032892919,-0.252923273
Guanosine-5??-monophosphate,0.397940022,0.992511134,0.040895008
"Guanosine-2??,3??-cyclicmonophosphate",0.413022269,1.291126201,-0.089305929
PhosphoenolPyruvate,0.092213969,0.31293678,0.244313325
Phospho-GlycolicAcid,0.164495829,-0.142363052,0.583161308
D-Glucose-1-Phosphate,0.144112773,0.283105992,0.260417323
D-Glucose-6-Phosphate,0.177564079,-0.108788167,0.167948241
D-Glucosamine-6-Phosphate,0.372991452,0.427174818,0.354986708
6-Phospho-GluconicAcid,0.159364835,0.301682453,0.219137504
Cytidine-3??-monophosphate,-0.301609326,0.483314661,0.13862933
Cytidine-5??-monophosphate,-0.27411959,0.05655626,0.204147548
"Cytidine-2??,3??-cyclicmonophosphate",-0.364548402,0.258753164,0.062457313
D-Mannose-1-Phosphate,-0.007272724,-0.174793104,0.059972507
D-Mannose-6-Phosphate,0.143752792,0.093654477,0.294963561
O-Phospho-L-Threonine,0.182278791,0.360561351,0.214499658
Uridine-3??-monophosphate,-0.348128381,0.438513522,0.251656399
Uridine-5??-monophosphate,-0.319786862,0.331849807,0.169607307
"Uridine-2??,3??-cyclicmonophosphate",-0.359728494,0.3220395,0.202296204
O-Phospho-D-Tyrosine,0.329681229,-0.100430297,0.083856795
Thymidine-5??-Monophosphate,0.12630482,0.461055801,0.134182449
InositolHexaphosphate,0.137140423,0.071609005,2.275046342
Sulfate,0.023263178,0.194589443,0.182130592
Thiosulfate,0.011177204,0.592399669,0.303761119
L-Cysteine,0.091533213,0.692196289,0.967066687
D-Cysteine,0.100115411,0.66176495,0.248202704
L-Cysteinyl-Glycine,-0.035991756,0.856109699,0.429268263
L-CysteineSulfinicAcid,0.05764241,0.671455544,0.389118021
Cystathionine,0.005209271,0.106845777,0.314653938
Glutathione,0.157989436,0.151422619,0.113928457
L-Methionine,-0.325793962,0.187061377,0.482938921
D-Methionine,0.034083002,0.43597907,0.240134004
L-MethionineSulfoxide,-0.316770214,0.659100183,0.559287014
Taurine,0.041860086,0.387139124,0.156709726
ButaneSulfonicAcid,0.136387834,0.684161941,0.059304747
2-HydroxyethaneSulfonicAcid,0.103988949,0.506093679,0.187001485
MethaneSulfonicAcid,0.029604154,0.829088617,0.418380708
